"healthy_66"	"healthy_67"	"healthy_68"	"healthy_69"	"healthy_70"	"diseased_71"	"diseased_72"	"diseased_73"	"diseased_74"	"diseased_75"
"TRNF"	2	0	1	1	1	2	1	3	0	3
"LILRP2"	0	0	0	0	0	0	0	0	0	0
"KIR3DL3"	0	0	0	0	0	0	0	0	0	0
"KIR2DS2"	0	0	0	0	0	0	0	0	0	0
"KIR2DL2"	0	0	0	0	0	0	0	0	0	0
"KIR3DP1"	0	0	0	0	0	0	0	0	0	0
"KIR2DL4"	0	0	0	0	0	0	0	0	0	0
"KIR3DS1"	0	0	0	0	0	0	0	0	0	0
"KIR2DL5A"	0	0	0	0	0	0	0	0	0	0
"KIR2DS5"	0	0	0	0	0	0	0	0	0	0
"KIR2DS1"	0	0	0	0	0	0	0	0	0	0
"KIR3DL2"	0	0	0	0	0	0	0	0	0	0
"KIR2DL3"	0	0	0	0	0	0	0	0	0	0
"KIR2DP1"	0	0	0	0	0	0	0	0	0	0
"LOC101928804"	0	0	0	0	0	0	0	0	0	0
"KIR2DL1"	0	0	0	0	0	0	0	0	0	0
"KIR3DL1"	0	0	0	0	0	0	0	0	0	0
"KIR2DS4"	0	0	0	0	0	0	0	0	0	0
"RNU6.222P"	0	0	0	0	0	0	0	0	0	0
"KIR2DL5B"	0	0	0	0	0	0	0	0	0	0
"NCR1"	0	0	0	0	0	0	0	0	0	0
"FCAR"	0	0	0	0	0	0	0	0	0	0
"LOC102725023"	0	0	0	0	0	0	0	0	0	0
"KIR2DS3"	0	0	0	0	0	0	0	0	0	0
"EPS8L1"	25	44	31	34	18	52	46	53	48	63
"RDH13"	1	1	0	0	1	0	0	1	0	2
"GP6"	0	0	0	0	0	0	0	0	0	0
"GP6.AS1"	0	0	0	1	0	0	0	0	0	0
"RPL36AP50"	0	0	0	0	0	0	0	0	0	0
"NLRP2"	13	13	11	10	9	18	13	14	11	15
"NLRP7"	0	0	0	0	0	0	0	0	0	0
"LILRP1"	0	0	0	0	0	0	0	0	0	0
"LILRB4"	0	0	0	0	0	0	0	0	0	0
"VN1R105P"	0	0	0	0	0	0	0	0	0	0
"MIR8061"	0	0	0	0	0	0	0	0	0	0
"LILRB1"	0	0	0	0	0	0	0	0	0	0
"LILRA1"	0	0	0	0	0	0	0	0	0	0
"LILRA2"	0	0	0	0	0	0	0	0	0	0
"LOC107985347"	0	0	0	0	0	0	0	0	0	0
"LOC105372461"	0	0	0	0	0	0	0	0	0	0
"KIR3DX1"	0	0	0	0	0	0	0	0	0	0
"LOC105372460"	0	0	0	0	0	0	0	0	0	0
"LAIR2"	0	0	0	0	0	0	0	0	0	0
"CDC42EP5"	0	0	0	0	0	0	0	0	0	0
"LENG9"	0	0	0	0	0	0	0	0	0	0
"LENG8"	29	20	17	11	19	11	26	29	24	24
"LENG8.AS1"	9	13	8	16	9	9	17	9	19	14
"TTYH1"	172	147	114	172	92	179	247	202	204	274
"LAIR1"	0	0	0	1	0	0	0	0	0	0
"LILRA4"	0	0	0	0	0	0	0	0	0	0
"VN1R104P"	0	0	0	0	0	0	0	0	0	0
"LILRA5"	0	0	0	0	0	0	0	0	0	0
"LILRA3"	0	0	0	0	0	0	0	0	0	0
"MIR4752"	0	0	0	0	0	0	0	0	0	0
"LILRB2"	0	0	0	0	0	0	0	0	0	0
"LOC100420187"	0	0	0	0	0	0	0	0	0	0
"RNU6.1307P"	0	0	0	0	0	0	0	0	0	0
"LILRB5"	0	0	0	0	0	0	0	0	0	0
"LOC107987463"	0	0	0	0	0	0	0	0	0	0
"LILRA6"	0	0	0	0	0	0	0	0	0	0
"LOC100421130"	0	1	0	0	1	0	2	1	5	0
"LOC107985279"	0	0	0	0	0	0	0	0	0	0
"LOC107987462"	0	0	0	0	0	0	0	0	0	0
"LOC124905654"	0	0	0	0	0	0	0	0	0	0
"RPS9"	74	62	60	70	69	53	38	39	61	63
"TSEN34"	1	2	2	2	0	2	2	1	0	0
"MBOAT7"	3	0	2	1	0	0	1	0	2	2
"TMC4"	0	0	0	1	0	1	0	0	0	0
"LENG1"	0	0	0	0	0	1	1	0	0	0
"LOC102724273"	0	0	0	0	0	0	0	0	0	0
"CNOT3"	164	147	115	144	115	114	84	82	86	119
"PRPF31.AS1"	1	2	2	0	1	0	0	0	0	0
"PRPF31"	10	7	8	7	3	2	7	9	6	9
"LOC124905653"	0	0	0	0	0	0	0	0	0	0
"TFPT"	2	1	5	2	1	0	2	2	4	0
"NDUFA3"	0	0	1	0	0	0	0	0	0	0
"OSCAR"	0	0	0	0	0	0	1	0	0	0
"TARM1"	0	0	0	0	0	0	0	0	0	0
"VSTM1"	0	0	0	0	0	0	0	0	0	0
"LOC107987461"	0	0	0	0	0	0	0	0	0	0
"LOC124905651"	0	0	0	0	0	0	0	0	0	0
"LOC124905652"	0	0	0	0	0	0	0	0	0	0
"HCG23"	0	3	3	8	3	3	8	5	4	7
"BTNL2"	0	0	0	0	0	0	0	0	0	0
"TSBP1.AS1"	0	0	0	0	0	0	0	0	0	0
"HLA.DRA"	0	1	1	1	0	1	0	0	0	2
"LOC102724290"	0	0	0	0	0	0	0	0	0	0
"LOC102725035"	0	0	0	0	0	0	0	0	0	0
"LOC124905402"	0	0	0	0	0	0	0	0	0	0
"ZBTB9"	91	66	75	48	54	26	27	30	25	44
"MIR5004"	0	0	0	0	0	0	0	0	0	0
"SYNGAP1.AS1"	0	0	0	0	0	0	0	0	0	0
"SYNGAP1"	175	117	139	126	69	92	92	85	95	109
"CUTA"	0	0	0	0	1	0	0	0	0	0
"PHF1"	321	324	311	309	250	243	315	274	302	321
"RPL12P1"	0	0	1	0	0	0	0	0	0	0
"KIFC1"	10	7	7	7	9	7	1	2	7	8
"RPL35AP4"	0	0	0	0	0	0	0	0	0	0
"SMIM40"	0	0	0	0	0	0	0	0	0	0
"RPS18"	0	0	0	0	0	1	0	1	0	0
"VPS52"	8	6	1	7	6	10	4	7	4	5
"HCG25"	0	0	0	0	0	0	0	0	0	0
"ZNF70P1"	0	0	0	0	0	0	0	0	0	0
"COL11A2"	4	9	5	13	4	6	17	12	12	14
"HLA.DPA3"	0	0	0	0	0	0	0	0	0	0
"HLA.DPB2"	0	1	0	1	0	2	2	7	6	7
"COL11A2P1"	0	0	0	0	0	0	0	0	0	0
"HLA.DPA2"	0	0	0	0	0	0	0	0	0	0
"RPL32P1"	0	0	0	0	0	0	0	0	0	0
"HLA.DPB1"	20	28	27	14	17	24	15	17	19	26
"HLA.DPA1"	0	0	0	0	0	0	0	0	0	0
"HLA.DOA"	0	0	0	0	0	0	0	0	0	0
"BRD2"	397	365	334	416	255	315	344	336	342	385
"HLA.DMA"	0	0	0	0	0	0	0	0	0	0
"HLA.DMB"	0	0	0	0	0	0	1	0	0	0
"HLA.Z"	0	0	0	0	0	0	0	0	0	0
"LOC100294145"	0	0	0	0	0	0	0	0	0	0
"PPP1R2P1"	0	0	0	0	0	0	0	0	0	0
"PSMB9"	0	0	0	0	0	0	0	0	0	0
"TAP1"	0	0	0	0	0	0	0	0	0	0
"PSMB8.AS1"	0	0	0	0	0	0	0	0	0	0
"PSMB8"	0	0	0	0	0	0	0	0	0	0
"TAP2"	31	18	23	25	19	22	21	21	25	27
"HLA.DOB"	0	0	0	0	0	0	0	0	0	0
"HLA.DQB2"	0	0	0	0	0	0	0	0	0	0
"MIR3135B"	0	0	0	0	0	0	0	0	0	0
"HLA.DQA2"	0	0	0	0	0	0	0	0	0	0
"LOC102725019"	0	0	0	0	0	0	0	0	0	0
"HLA.DQB1"	5	1	1	3	1	7	10	11	16	14
"HLA.DQA1"	0	0	0	0	0	0	0	1	1	0
"HLA.DRB1"	3	1	1	0	0	0	0	0	3	0
"FAM8A5P"	0	0	0	0	0	0	0	0	0	0
"HLA.DRB7"	0	0	0	0	0	0	0	0	0	0
"LOC100294316"	0	0	0	0	0	0	0	0	0	0
"PRKRAP1"	7	10	3	4	9	4	2	4	7	3
"HLA.DRB8"	0	0	0	0	0	0	0	0	0	0
"HLA.DRB4"	0	0	0	0	0	0	0	0	0	0
"HLA.DRB9"	0	0	0	0	0	0	0	0	0	0
"RNU6.603P"	0	0	0	0	0	0	0	0	0	0
"HNRNPA1P2"	0	0	0	0	0	0	0	0	0	0
"TSBP1"	0	0	0	0	0	0	0	0	0	0
"NOTCH4"	0	0	0	0	0	0	0	0	0	0
"GPSM3"	0	0	0	0	0	0	0	0	0	0
"PBX2"	104	111	95	93	61	61	73	74	77	90
"AGER"	2	1	2	5	3	2	3	1	0	2
"MIR6833"	0	0	0	0	0	0	0	0	0	0
"RNF5"	2	2	3	0	0	0	0	0	1	0
"MIR6721"	0	0	0	0	0	0	0	0	0	0
"AGPAT1"	2	0	0	0	0	0	1	0	1	0
"EGFL8"	0	0	0	0	0	0	0	0	0	0
"PPT2.EGFL8"	0	0	0	0	0	0	0	0	0	0
"PPT2"	0	0	0	0	0	0	0	0	0	0
"LOC100507547"	2	2	0	0	0	0	1	0	0	0
"PRRT1"	0	0	0	0	0	0	0	0	0	0
"TNXB"	0	0	0	0	0	0	0	0	0	0
"CYP21A2"	4	1	2	4	1	1	0	0	0	0
"C4B"	0	0	0	0	2	0	0	1	0	0
"STK19B"	0	0	0	0	0	0	0	0	0	0
"TNXA"	0	0	0	0	0	0	0	0	0	0
"CYP21A1P"	8	8	6	11	3	6	10	4	7	8
"C4B_2"	0	0	0	0	0	0	0	0	0	0
"STK19"	0	0	0	0	0	0	0	0	0	0
"DXO"	15	9	8	19	13	9	11	9	10	11
"SKIV2L"	18	18	14	5	13	6	8	12	6	14
"MIR1236"	0	0	0	0	0	0	0	0	0	0
"NELFE"	26	31	33	33	16	14	26	21	33	23
"CFB"	54	11	126	10	26	5	3	1	0	1
"C2.AS1"	0	0	0	0	0	0	0	0	0	0
"C2"	6	4	6	6	5	0	0	2	0	0
"EHMT2"	2	0	0	1	2	0	0	0	0	0
"EHMT2.AS1"	0	0	0	0	0	0	0	0	0	0
"SLC44A4"	0	0	0	0	0	0	0	0	0	0
"NEU1"	0	1	0	1	0	0	0	0	1	0
"VARS1"	23	23	25	14	14	16	13	7	11	15
"VWA7"	0	0	0	0	0	0	0	0	0	0
"SAPCD1.AS1"	0	0	0	0	0	0	0	0	0	0
"SAPCD1"	0	0	0	0	0	0	0	0	0	0
"RNU6.850P"	0	0	0	0	0	0	0	0	0	0
"MSH5"	0	0	0	0	0	0	0	0	0	0
"MSH5.SAPCD1"	0	0	0	0	0	0	0	0	0	0
"CLIC1"	0	0	0	0	0	0	0	0	0	0
"DDAH2"	5	2	6	5	6	5	2	2	1	4
"MPIG6B"	0	0	0	0	0	0	0	0	0	0
"LY6G6C"	0	0	0	0	0	0	0	0	0	0
"LY6G6D"	0	0	0	0	0	0	0	0	0	0
"LY6G6E"	0	0	0	0	0	0	0	0	0	0
"LY6G6F"	0	0	0	0	0	0	0	0	0	0
"LY6G6F.LY6G6D"	0	0	0	0	0	0	0	0	0	0
"MIR4646"	0	0	0	0	0	0	0	0	0	0
"LOC105375018"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"LOC105375019"	0	0	0	0	0	0	0	0	0	0
"LY6G5C"	6	4	1	2	3	4	10	3	7	7
"LY6G5B"	29	25	9	28	15	22	30	22	26	24
"CSNK2B"	102	92	100	76	45	66	49	52	61	73
"GPANK1"	4	0	2	3	3	2	1	2	2	0
"C6orf47"	0	0	0	0	0	0	0	0	0	1
"APOM"	0	0	0	0	0	0	0	0	0	0
"BAG6"	47	38	42	45	32	33	55	40	53	57
"MIR6832"	0	0	0	0	0	0	0	0	0	0
"SNORA38"	0	1	0	0	0	0	1	0	0	1
"PRRC2A"	387	327	317	362	258	242	278	228	274	343
"AIF1"	1	1	1	1	2	0	0	0	0	0
"UQCRHP1"	0	0	0	0	0	0	0	0	0	0
"NCR3"	0	0	0	0	0	0	0	1	0	0
"LST1"	0	0	0	0	0	0	0	0	0	0
"LTB"	0	0	0	0	0	0	0	0	0	0
"TNF"	0	0	0	0	0	0	0	0	0	0
"LTA"	0	0	0	0	0	0	0	0	0	0
"LOC100287329"	0	0	0	0	0	0	0	0	0	0
"NFKBIL1"	48	51	62	54	35	52	54	78	80	97
"ATP6V1G2"	0	0	0	1	0	0	0	2	1	0
"DDX39B.AS1"	0	0	0	0	0	0	0	0	0	0
"SNORD84"	0	0	0	0	0	0	0	0	0	0
"SNORD117"	0	0	0	0	0	0	0	0	0	0
"DDX39B"	0	0	0	0	0	0	0	0	0	0
"ATP6V1G2.DDX39B"	0	0	0	0	0	0	0	0	0	0
"MCCD1"	0	0	0	0	0	0	0	0	0	0
"RPL15P4"	0	0	0	0	0	0	0	0	0	0
"PPIAP9"	0	0	0	0	0	0	0	0	0	0
"MICB"	0	0	0	0	0	0	0	0	0	0
"MICB.DT"	0	0	0	0	0	0	0	0	0	0
"HCG26"	0	1	0	0	0	0	0	0	0	1
"HCP5"	0	0	0	0	0	0	1	0	0	0
"HLA.X"	0	0	0	0	0	0	0	0	0	0
"LINC01149"	0	0	0	0	0	0	0	0	0	0
"MICA"	34	30	43	22	18	29	21	10	10	15
"MICA.AS1"	0	3	1	2	2	0	0	0	0	0
"LOC124901300"	0	0	0	0	0	0	0	0	0	0
"LOC105379664"	0	0	0	0	0	0	0	0	0	0
"RNU6.283P"	0	0	0	0	0	0	0	0	0	0
"DHFRP2"	1	0	0	0	0	2	0	0	1	0
"MIR6891"	0	0	0	0	0	0	0	0	0	0
"HLA.B"	483	322	586	290	251	357	268	164	201	306
"LINC02571"	0	0	0	0	0	0	0	0	0	0
"WASF5P"	0	0	0	0	0	0	0	0	0	0
"RPL3P2"	2	0	2	3	3	2	0	0	2	5
"USP8P1"	0	0	1	0	1	1	2	0	0	1
"HLA.C"	924	643	978	685	506	429	325	254	276	322
"HCG27"	1	0	0	0	0	1	0	0	0	0
"PSORS1C3"	1	0	0	0	0	0	0	0	0	0
"POU5F1"	0	0	0	0	0	0	0	0	0	0
"TCF19"	95	90	77	83	60	77	43	52	66	84
"RNU6.1133P"	0	0	0	0	0	0	0	0	0	0
"HCG22"	10	4	3	1	7	1	1	0	4	1
"MUC22"	0	0	0	0	0	0	0	0	0	0
"LINC00243"	0	0	1	0	0	0	0	0	0	0
"HCG20"	0	0	0	0	0	0	0	1	0	0
"RN7SL353P"	0	0	0	0	0	0	0	0	0	0
"IER3"	288	81	475	54	144	218	76	51	47	110
"IER3.AS1"	0	0	0	0	0	0	0	0	0	0
"FLOT1"	65	38	32	41	28	23	25	27	31	27
"TUBB"	14	8	15	11	3	4	4	10	11	3
"MDC1.AS1"	0	0	0	0	0	0	0	0	0	0
"MDC1"	68	51	53	54	49	40	53	57	39	56
"LOC107987457"	0	0	0	0	0	0	0	0	0	0
"DHX16"	12	11	4	5	6	5	11	4	5	10
"C6orf136"	1	4	7	5	2	5	8	7	7	7
"PTMAP1"	0	0	0	0	0	0	0	0	0	0
"ATAT1"	0	0	0	0	1	0	0	0	0	0
"MRPS18B"	10	10	9	18	17	14	8	9	24	18
"PPP1R10"	3	2	4	9	6	5	1	6	2	6
"MIR877"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"PRR3"	19	16	18	18	20	9	17	21	24	23
"GNL1"	1	1	0	0	0	0	1	0	0	1
"LINC02569"	0	0	0	0	0	0	0	0	0	0
"HLA.E"	0	0	0	0	0	0	0	0	0	0
"RANP1"	1	0	0	1	0	0	0	0	0	0
"SUCLA2P1"	0	0	0	0	0	0	0	0	0	0
"LOC105375012"	0	0	0	0	0	0	0	0	0	0
"MICC"	0	0	0	0	0	0	0	0	0	0
"UBQLN1P1"	0	0	0	0	0	0	0	0	0	0
"HLA.N"	0	0	0	0	0	0	0	0	0	0
"RPP21"	0	0	0	0	0	0	0	0	0	0
"TRIM39.RPP21"	0	0	0	0	0	0	0	0	0	0
"TRIM39"	3	3	2	2	1	2	4	2	2	3
"HCG18"	10	11	8	11	15	12	12	10	19	14
"HLA.L"	0	0	0	0	0	0	0	0	1	0
"HCG17"	0	0	0	0	0	0	0	0	0	0
"PAIP1P1"	2	2	3	0	2	2	1	1	1	1
"TRIM26"	12	13	5	10	10	8	7	11	7	19
"TRIM15"	0	0	0	0	0	0	0	0	0	0
"TRIM10"	0	0	0	0	0	0	0	0	0	0
"TRIM40"	0	0	0	0	0	0	0	0	1	0
"LOC124900227"	0	0	0	0	0	0	0	0	0	0
"TRIM31.AS1"	0	0	0	0	0	0	1	0	0	0
"TRIM31"	0	0	0	0	0	0	0	0	0	0
"RNF39"	0	0	0	0	0	0	0	0	0	0
"PPP1R11"	237	268	223	226	216	247	224	252	308	304
"POLR1H"	0	1	0	0	0	1	0	0	0	2
"ETF1P1"	2	2	1	0	0	0	0	0	0	0
"HLA.J"	0	1	0	0	0	0	0	0	0	0
"HCG4P3"	0	0	0	0	0	0	0	0	0	0
"ZNRD1ASP"	34	23	25	38	26	23	30	35	56	47
"LOC353007"	0	0	0	0	0	0	0	0	0	0
"MCCD1P2"	0	0	0	0	0	0	0	0	0	0
"DDX39BP2"	0	0	0	0	0	0	0	0	0	0
"HCG9"	0	0	0	0	0	0	0	0	0	1
"MICD"	0	0	0	0	0	0	0	0	0	1
"HLA.A"	816	586	913	590	486	859	621	516	589	796
"HLA.K"	0	3	0	3	5	1	0	0	1	0
"HCG4B"	1	4	1	0	2	0	2	1	2	1
"LOC353008"	0	0	0	0	0	0	0	1	0	1
"MCCD1P1"	1	0	0	0	0	0	0	0	0	0
"DDX39BP1"	0	0	0	0	0	0	0	0	0	0
"HLA.H"	3	10	4	8	2	0	1	1	2	3
"HCP5B"	0	1	0	0	0	0	0	0	0	0
"MICF"	0	0	0	0	0	0	0	0	0	0
"LOC105375010"	1	0	0	1	0	0	0	0	0	0
"HCGVIII.2"	0	0	0	0	0	0	0	0	0	0
"HLA.G"	0	0	0	0	0	0	0	0	0	1
"MICG"	0	0	0	0	0	0	0	0	0	0
"RPL7AP7"	0	0	0	0	0	0	0	0	0	0
"HLA.P"	0	0	0	0	0	0	0	0	0	0
"HCG4P9"	0	0	0	0	0	0	0	0	0	0
"HLA.V"	0	0	0	0	0	0	0	0	0	0
"HCG4"	0	0	0	0	0	0	0	0	0	0
"LOC353010"	0	0	0	0	0	0	0	0	0	0
"LOC105379663"	0	0	0	0	0	0	0	0	0	0
"IFITM4P"	0	0	0	0	0	0	0	0	0	0
"HCG9P5"	0	0	0	0	0	0	0	0	0	0
"MICE"	2	1	1	1	0	2	0	1	1	1
"HLA.F.AS1"	0	2	1	3	5	0	3	0	0	0
"RPL23AP1"	0	0	0	0	0	0	0	0	0	0
"HLA.F"	5	1	0	0	1	0	0	0	1	1
"ZDHHC20P1"	0	0	0	0	0	0	0	0	0	0
"ZFP57"	0	0	0	0	0	0	0	0	0	0
"MOG"	0	0	0	0	0	0	0	0	0	0
"SUMO2P1"	0	0	0	1	0	0	0	0	0	0
"GABBR1"	92	83	60	74	56	27	26	27	31	32
"OR2I1P"	0	0	0	0	0	0	0	0	0	0
"GPR53P"	0	0	0	0	0	0	0	0	0	0
"LINC01015"	0	0	0	0	0	0	0	0	0	0
"LINC02829"	0	0	0	0	0	0	0	0	0	0
"RPS17P1"	0	0	0	0	0	0	0	0	0	0
"MAS1L"	0	0	0	0	0	0	0	0	0	0
"LOC124905400"	0	0	0	0	0	0	0	0	0	0
"LOC105375008"	0	0	0	0	0	0	0	0	0	0
"MAS1LP1"	0	0	0	0	0	0	0	0	0	0
"UBDP1"	0	0	0	0	0	0	0	0	0	0
"OR2H1"	0	0	0	0	0	0	0	0	0	0
"OR10C1"	0	0	0	0	0	0	0	0	0	0
"OR11A1"	0	0	0	0	0	0	0	0	0	0
"OR12D1"	0	0	0	0	0	0	0	0	0	0
"OR12D2"	0	0	0	0	0	0	0	0	0	0
"OR12D3"	0	0	0	0	0	0	0	0	0	0
"OR5V1"	0	0	0	0	0	0	0	0	0	0
"DDX6P1"	0	0	0	0	0	0	0	0	0	0
"OR14J1"	0	0	0	0	0	0	0	0	0	0
"OR2B4P"	0	0	0	0	0	0	0	0	0	0
"LOC105375005"	0	0	0	0	0	0	0	0	0	0
"OR2U2P"	0	0	0	0	0	0	0	0	0	0
"OR2U1P"	0	0	0	0	0	0	0	0	0	0
"OR2G1P"	0	0	0	0	0	0	0	0	0	0
"LINC03003"	0	0	0	0	0	0	0	0	0	0
"OR2H4P"	0	0	0	0	0	0	0	0	0	0
"OR2J4P"	0	0	0	0	0	0	0	0	0	0
"OR2J2"	0	0	0	0	0	0	0	0	0	0
"OR2N1P"	0	0	0	0	0	0	0	0	0	0
"OR2J3"	0	0	0	0	0	0	0	0	0	0
"OR2J1"	0	0	0	0	0	0	0	0	0	0
"OR2B3"	0	0	0	0	0	0	0	0	0	0
"SAR1AP1"	0	0	0	0	0	0	0	0	0	0
"OR2P1P"	0	0	0	0	0	0	0	0	0	0
"OR2W1"	0	0	0	0	0	0	0	0	0	0
"OR2W1.AS1"	0	0	0	0	0	0	0	0	0	0
"OR2AD1P"	0	0	0	0	0	0	0	0	0	0
"LOC105375002"	0	0	0	0	0	0	0	0	0	0
"ZNF311"	1	2	3	4	2	3	2	3	7	7
"TRL.AAG3.1"	0	0	0	0	0	0	0	0	0	0
"HCG15"	0	0	0	0	0	0	0	0	0	0
"TRE.CTC1.6"	0	0	0	0	0	0	0	0	0	0
"TRF.GAA1.2"	0	0	0	0	0	0	0	0	0	0
"RN7SL471P"	0	0	0	0	0	0	0	0	0	0
"KRT18P1"	0	0	0	0	0	0	0	0	0	0
"TRM.CAT3.2"	0	0	0	0	0	0	0	0	0	0
"TRK.TTT3.3"	0	0	0	0	0	0	0	0	0	0
"TRM.CAT3.1"	0	0	0	0	0	0	0	0	0	0
"LINC01556"	0	0	0	0	0	0	0	0	0	0
"TRL.AAG2.2"	0	0	0	0	0	0	0	0	0	0
"TRQ.CTG1.3"	0	0	0	0	0	0	0	0	0	0
"TRL.CAA1.2"	0	0	0	0	0	0	0	0	0	0
"RNU6.930P"	0	0	0	0	0	0	0	0	0	0
"TRIM27"	3	0	0	1	1	0	0	0	0	1
"HCG14"	0	0	0	0	0	0	0	0	0	0
"TRL.CAA1.1"	0	0	0	0	0	0	0	0	0	0
"ZNF90P2"	0	0	0	0	0	0	0	0	0	0
"TRR.CCG1.2"	0	0	0	0	0	0	0	0	0	0
"TRA.AGC2.2"	0	0	0	0	0	0	0	0	0	0
"RPL13P"	0	0	0	0	0	0	0	0	0	0
"LINC01623"	0	0	0	0	0	0	0	0	0	0
"TRA.AGC2.1"	0	0	0	0	0	0	0	0	0	0
"TRF.GAA4.1"	0	0	0	0	0	0	0	0	0	0
"TRA.TGC5.1"	0	0	0	0	0	0	0	0	0	0
"TRA.AGC6.1"	0	0	0	0	0	0	0	0	0	0
"TRF.GAA3.1"	0	0	0	0	0	0	0	0	0	0
"TRA.TGC7.1"	0	0	0	0	0	0	0	0	0	0
"LOC124901504"	0	0	0	0	0	0	0	0	0	0
"TRA.AGC1.1"	0	0	0	0	0	0	0	0	0	0
"TRF.GAA1.1"	0	0	0	0	0	0	0	0	0	0
"TRA.TGC1.1"	0	0	0	0	0	0	0	0	0	0
"NOP56P1"	0	0	0	0	0	0	0	0	0	0
"TRA.AGC23.1"	0	0	0	0	0	0	0	0	0	0
"TRF.GAA5.1"	0	0	0	0	0	0	0	0	0	0
"TRF.GAA6.1"	0	0	0	0	0	0	0	0	0	0
"TRA.TGC6.1"	0	0	0	0	0	0	0	0	0	0
"TRK.TTT7.1"	0	0	0	0	0	0	0	0	0	0
"TRR.CCG1.1"	0	0	0	0	0	0	0	0	0	0
"TRV.AAC6.1"	0	0	0	0	0	0	0	0	0	0
"RPSAP2"	0	0	0	0	0	0	0	0	0	0
"TRA.CGC4.1"	0	0	0	0	0	0	0	0	0	0
"TRF.GAA11.1"	0	0	0	0	0	0	0	0	0	0
"TRT.AGT3.1"	0	0	0	0	0	0	0	0	0	0
"TRA.AGC7.1"	0	0	0	0	0	0	0	0	0	0
"TRA.AGC5.1"	0	0	0	0	0	0	0	0	0	0
"TRK.TTT13.1"	0	0	0	0	0	0	0	0	0	0
"LOC100288016"	0	0	0	0	0	0	0	0	0	0
"LOC105374297"	0	0	0	0	0	0	0	0	0	0
"SDHAP2"	0	0	0	0	0	0	0	0	0	0
"MIR570"	0	0	0	0	0	0	0	0	0	0
"SMBD1P"	6	6	5	9	8	4	6	6	4	5
"MIR570HG"	0	2	1	2	1	2	0	1	0	3
"LOC124905401"	0	0	0	0	0	0	0	0	0	0
"MUC20"	3	2	0	1	0	1	2	0	0	0
"MUC4"	0	0	0	0	1	0	0	0	0	1
"LOC112268340"	0	0	0	0	0	0	0	0	0	0
"LOC124905399"	0	0	0	0	0	0	0	0	0	0
"LYPLA2P1"	0	0	0	0	0	0	0	0	0	0
"MYL12BP3"	0	0	0	0	0	0	0	0	0	0
"DAXX"	7	6	6	7	2	10	4	3	3	5
"ZBTB22"	0	0	0	0	0	0	0	0	0	0
"TAPBP"	26	21	28	17	7	13	7	13	9	18
"RGL2"	34	31	22	23	19	21	15	19	15	29
"MIR6834"	0	0	0	0	0	0	0	0	0	0
"PFDN6"	0	0	1	1	0	1	0	1	0	1
"MIR6873"	0	0	0	0	0	0	0	0	0	0
"WDR46"	3	7	8	10	7	2	8	3	3	6
