FIELD	COUNT	DESC
StrandTest_frSecondStrand	127649	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	912592	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	1922587	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	1700	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	194	Number of chromosomes with 1 or more aligned reads.
deletionLoci	103724	Number of observed deletion loci
insertionLoci	72978	Number of observed insertion loci
deletionEventCt	199747	Number of times deletions are observed in a read
insertionEventCt	215395	Number of times insertions are observed in a read
highCoverageDeletionLoci	2806	Number of high-coverage deletion loci.
highCoverageInsertionLoci	5768	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	199169	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	207799	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	1165	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	405803	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	32122618	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	154435	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	161013	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	32213699	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	44734	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	46786	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	32437002	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	9625508	Number of read-pairs with no overlap, arranged normally
OM_overlap	22902913	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	20150618	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	2752295	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	32528421	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	32528421	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	100	The read length.
COMPLETED_WITHOUT_WARNING	1	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1682142827347	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1682147635643	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
