FIELD	COUNT	DESC
ReadPairs_NoGene	2242666	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	1553403	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	150299	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	352985	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	185979	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	59251	Number of known genes
Genes_WithZeroCounts	32028	Number of genes with zero observed reads
Genes_WithNonzeroCounts	27223	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	27969670	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	121209	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	48115	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	19408787	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	8391559	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	239412	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	101085	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	138327	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.45238300149911614	Average GC fraction for read 1
AVG_GC_R2	0.45175188651595216	Average GC fraction for read 2
AVG_GC	0.4520674440075342	Average GC fraction across all reads
AggregateGenes	56901	Number of aggregate genes
AggregateGenes_NoReads	30115	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	26786	Number of aggregate genes with 1 or more observed reads
SpliceLoci	461426	Number of splice loci observed
SpliceLoci_Known	380433	Number of known splice loci
SpliceLoci_Known_NoReads	192566	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	41924	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	145943	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	80993	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	74565	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	6428	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	14496613	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	14346282	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	69864	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	14276418	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	150331	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	95110	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	55221	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	25053238	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	150611	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	738572	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	2264959	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	1702	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	195	Number of chromosomes with 1 or more aligned reads.
deletionLoci	93157	Number of observed deletion loci
insertionLoci	73895	Number of observed insertion loci
deletionEventCt	176434	Number of times deletions are observed in a read
insertionEventCt	198743	Number of times insertions are observed in a read
highCoverageDeletionLoci	2513	Number of high-coverage deletion loci.
highCoverageInsertionLoci	5404	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	175948	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	190228	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	1094	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	365082	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	27844000	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	140360	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	153079	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	27916384	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	35588	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	37149	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	28136405	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	8422708	Number of read-pairs with no overlap, arranged normally
OM_overlap	19786374	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	17464805	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	2321569	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	28209082	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	28209082	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	100	The read length.
COMPLETED_WITHOUT_WARNING	1	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1682156261255	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1682159651847	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
